iter	MAE
917	11184.86295
918	11183.17109
919	11180.99843
920	11176.86354
921	11176.04465
922	11174.92141
923	11171.60297
924	11170.3908
925	11165.37113
926	11163.99164
927	11163.75718
928	11161.52464
929	11160.48419
930	11159.0457
931	11156.74095
932	11152.12156
933	11148.99975
934	11147.82059
935	11147.76294
936	11147.70443
937	11147.42506
938	11147.15987
939	11144.67779
940	11142.75436
941	11141.30693
942	11141.12246
943	11140.82106
944	11140.01574
945	11139.87119
946	11139.59107
947	11139.3518
948	11139.3147
949	11138.09115
950	11135.48198
951	11134.79498
952	11134.57022
953	11134.29633
954	11132.94867
955	11131.80522
956	11130.59061
957	11128.07854
958	11128.0469
959	11125.68244
960	11124.31491
961	11124.12949
962	11123.61727
963	11123.25102
964	11122.93738
965	11122.23067
966	11120.63489
967	11119.3305
968	11118.25307
969	11117.23251
970	11116.68791
971	11116.20441
972	11115.45816
973	11114.79741
974	11114.59154
975	11114.31998
976	11113.90233
977	11113.10232
978	11112.81524
979	11110.43868
980	11110.15631
981	11109.54838
982	11108.09662
983	11106.71744
984	11106.17428
985	11105.95438
986	11102.69831
987	11101.00965
988	11100.61087
989	11100.29709
990	11100.09342
991	11099.95319
992	11099.78203
993	11099.68416
994	11099.31496
995	11098.55968
996	11096.71856
997	11095.01734
998	11094.02787
999	11091.48074
